Cond,Threshold (nSD),Name Mover,S-Inhibition,Duplicate Token,Induction,Total Detected
1,1.5,1/3,3/3,0/2,0/2,5
2,1.5,2/3,2/3,0/2,1/2,18
3,1.5,1/3,2/3,0/2,1/2,8
4,1.5,2/3,2/3,0/2,1/2,18
5,1.5,1/3,3/3,1/2,1/2,13
6,1.5,2/3,3/3,1/2,1/2,16
7,1.5,2/3,2/3,1/2,0/2,10
8,1.5,2/3,2/3,1/2,0/2,16
9,1.5,2/3,3/3,0/2,0/2,12
1,2.0,1/3,3/3,0/2,0/2,4
2,2.0,2/3,2/3,0/2,1/2,16
3,2.0,1/3,2/3,0/2,0/2,5
4,2.0,2/3,2/3,0/2,1/2,14
5,2.0,1/3,3/3,1/2,1/2,10
6,2.0,2/3,3/3,1/2,1/2,11
7,2.0,1/3,2/3,0/2,0/2,7
8,2.0,2/3,2/3,0/2,0/2,9
9,2.0,1/3,3/3,0/2,0/2,9
1,2.5,0/3,2/3,0/2,0/2,2
2,2.5,2/3,2/3,0/2,1/2,11
3,2.5,1/3,1/3,0/2,0/2,3
4,2.5,2/3,2/3,0/2,0/2,9
5,2.5,0/3,2/3,1/2,1/2,6
6,2.5,1/3,3/3,1/2,1/2,9
7,2.5,1/3,2/3,0/2,0/2,5
8,2.5,2/3,2/3,0/2,0/2,7
9,2.5,1/3,3/3,0/2,0/2,8
1,3.0,0/3,1/3,0/2,0/2,1
2,3.0,2/3,2/3,0/2,1/2,9
3,3.0,0/3,1/3,0/2,0/2,1
4,3.0,2/3,2/3,0/2,0/2,8
5,3.0,0/3,1/3,1/2,1/2,5
6,3.0,0/3,2/3,1/2,1/2,7
7,3.0,1/3,2/3,0/2,0/2,5
8,3.0,2/3,2/3,0/2,0/2,6
9,3.0,0/3,3/3,0/2,0/2,6
